Material,Hv,G,B,Covalency,Density,Source,k,sigma,delta,Hv_Tian,K
Diamond,96.0,535.0,442.0,1.0,3.52,Original,1.2104072398190044,535.0,0.001,97.66870624267753,4.526188441722151
c-BN,48.0,405.0,400.0,0.9,3.45,Original,1.0125,364.5,0.001,65.46363776156568,3.0837302560892037
BC2N,76.0,450.0,410.0,0.95,3.48,Original,1.0975609756097562,427.5,0.001,77.30893137845263,3.6167206707219055
BC5,71.0,420.0,395.0,0.93,3.4,Original,1.0632911392405062,390.6,0.001,71.01529090233079,3.304540570722752
B4C,30.0,200.0,235.0,0.85,2.52,Original,0.851063829787234,170.0,0.001,32.60498539019192,1.438228102977132
B6O,42.0,230.0,250.0,0.8,2.6,Original,0.92,184.0,0.001,39.32945197846348,1.5566704173399548
B13C2,35.0,210.0,240.0,0.83,2.55,Original,0.875,174.29999999999998,0.001,34.832307390365195,1.4746068138171418
SiC,26.0,190.0,225.0,0.85,3.21,Original,0.8444444444444444,161.5,0.001,31.164251320660846,1.3663166978282755
TiC,30.0,190.0,240.0,0.7,4.93,Original,0.7916666666666666,133.0,0.001,28.959298621610742,1.125201986446815
WC,24.0,270.0,380.0,0.65,15.63,Original,0.7105263157894737,175.5,0.001,32.84278844736381,1.484759012191098
ZrC,26.0,170.0,220.0,0.65,6.73,Original,0.7727272727272727,110.5,0.001,26.039431549767354,0.9348482669351359
HfC,27.0,185.0,240.0,0.6,12.76,Original,0.7708333333333334,111.0,0.001,27.568902941359354,0.9390783495909509
VC,27.0,170.0,280.0,0.7,5.77,Original,0.6071428571428571,118.99999999999999,0.001,19.79463078823457,1.0067596720839924
NbC,18.0,160.0,280.0,0.65,7.82,Original,0.5714285714285714,104.0,0.001,17.699887813934794,0.8798571924095396
TaC,18.0,180.0,320.0,0.6,14.5,Original,0.5625,108.0,0.001,18.897748892139266,0.9136978536560604
Cr3C2,15.0,150.0,260.0,0.65,6.68,Original,0.5769230769230769,97.5,0.001,17.094307172710113,0.8248661178839434
Mo2C,16.0,160.0,270.0,0.6,9.18,Original,0.5925925925925926,96.0,0.001,18.44712096008295,0.8121758699164981
W2C,22.0,250.0,350.0,0.63,17.15,Original,0.7142857142857143,157.5,0.001,31.28828629952215,1.3324760365817547
TiN,18.0,160.0,250.0,0.7,5.22,Original,0.64,112.0,0.001,20.134062178936688,0.9475385149025811
ZrN,15.0,130.0,220.0,0.65,7.35,Original,0.5909090909090909,84.5,0.001,15.873720322905353,0.714883968832751
HfN,17.0,140.0,230.0,0.6,13.94,Original,0.6086956521739131,84.0,0.001,17.30252572529932,0.7106538861769358
VN,14.0,120.0,260.0,0.65,6.13,Original,0.46153846153846156,78.0,0.001,11.325373398880874,0.6598928943071547
NbN,16.0,130.0,280.0,0.6,8.35,Original,0.4642857142857143,78.0,0.001,12.066869909470604,0.6598928943071547
CrN,15.0,120.0,240.0,0.65,6.15,Original,0.5,78.0,0.001,12.40443662123766,0.6598928943071547
AlN,12.0,130.0,200.0,0.7,3.26,Original,0.65,91.0,0.001,17.69058551710754,0.7698750433583472
GaN,10.0,90.0,180.0,0.65,6.1,Original,0.5,58.5,0.001,10.118599787404142,0.494919670730366
InN,8.0,70.0,150.0,0.6,6.88,Original,0.4666666666666667,42.0,0.001,7.830291855001236,0.3553269430884679
TaN,20.0,170.0,310.0,0.62,15.6,Original,0.5483870967741935,105.4,0.001,17.63144234770188,0.891701423845822
WN,22.0,200.0,350.0,0.63,17.7,Original,0.5714285714285714,126.0,0.001,20.72921246664357,1.0659808292654038
MoN,18.0,180.0,300.0,0.62,9.2,Original,0.6,111.6,0.001,20.336618077824532,0.944154448777929
Si3N4,20.0,120.0,250.0,0.7,3.2,Original,0.48,84.0,0.001,11.841846751003569,0.7106538861769358
Al2O3,22.0,163.0,250.0,0.7,3.98,Original,0.652,114.1,0.001,20.83608726254059,0.9653048620570045
ZrO2,12.0,80.0,170.0,0.6,5.68,Original,0.47058823529411764,48.0,0.001,8.688972640563394,0.4060879349582491
HfO2,10.0,70.0,160.0,0.55,9.68,Original,0.4375,38.5,0.001,7.276278123614445,0.32571636449776226
TiO2,10.0,100.0,200.0,0.65,4.23,Original,0.5,65.0,0.001,10.90226470161234,0.5499107452559623
SiO2,10.0,45.0,37.0,0.7,2.65,Original,1.2162162162162162,31.499999999999996,0.001,17.01843244280157,0.2664952073163509
